sentence,class
If Walter lives in Badghis then Walter lives in Afghanistan,1
If Walter lives in Badghis then Walter lives in Asia,1
If Walter lives in Afghanistan then Walter lives in Asia,1
If Walter lives in Ghormach then Walter lives in Badghis and If Walter lives in Ghormach then Walter lives in Afghanistan,2
If Walter lives in Ghormach then Walter lives in Badghis or If Walter lives in Ghormach then Walter lives in Afghanistan,3
If Walter lives in Ghormach then Walter lives in Afghanistan and If Walter lives in Badghis then Walter lives in Afghanistan,4
If Walter lives in Ghormach then Walter lives in Asia and If Walter lives in Badghis then Walter lives in Asia,4
If Walter lives in Ghormach then Walter lives in Afghanistan or If Walter lives in Badghis then Walter lives in Afghanistan,5
If Walter lives in Ghormach then Walter lives in Asia or If Walter lives in Badghis then Walter lives in Asia,5
If Julia lives in Qala i Naw then Julia lives in Badghis,1
If Julia lives in Qala i Naw then Julia lives in Afghanistan,1
If Julia lives in Qala i Naw then Julia lives in Asia,1
If Julia lives in Badghis then Julia lives in Afghanistan,1
If Julia lives in Badghis then Julia lives in Asia,1
If Julia lives in Afghanistan then Julia lives in Asia,1
If Julia lives in Qala i Naw then Julia lives in Badghis and If Julia lives in Qala i Naw then Julia lives in Afghanistan,2
If Julia lives in Qala i Naw then Julia lives in Badghis or If Julia lives in Qala i Naw then Julia lives in Afghanistan,3
If Julia lives in Qala i Naw then Julia lives in Afghanistan and If Julia lives in Badghis then Julia lives in Afghanistan,4
If Julia lives in Qala i Naw then Julia lives in Asia and If Julia lives in Badghis then Julia lives in Asia,4
If Julia lives in Qala i Naw then Julia lives in Afghanistan or If Julia lives in Badghis then Julia lives in Afghanistan,5
If Julia lives in Qala i Naw then Julia lives in Asia or If Julia lives in Badghis then Julia lives in Asia,5
If Ian lives in Baghlān then Ian lives in Baghlan,1
If Ian lives in Baghlān then Ian lives in Afghanistan,1
If Ian lives in Baghlān then Ian lives in Asia,1
If Ian lives in Baghlan then Ian lives in Afghanistan,1
If Ian lives in Baghlan then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Baghlān then Ian lives in Baghlan and If Ian lives in Baghlān then Ian lives in Afghanistan,2
If Ian lives in Baghlān then Ian lives in Baghlan or If Ian lives in Baghlān then Ian lives in Afghanistan,3
If Ian lives in Baghlān then Ian lives in Afghanistan and If Ian lives in Baghlan then Ian lives in Afghanistan,4
If Ian lives in Baghlān then Ian lives in Asia and If Ian lives in Baghlan then Ian lives in Asia,4
If Ian lives in Baghlān then Ian lives in Afghanistan or If Ian lives in Baghlan then Ian lives in Afghanistan,5
If Ian lives in Baghlān then Ian lives in Asia or If Ian lives in Baghlan then Ian lives in Asia,5
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Baghlan,1
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Afghanistan,1
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Asia,1
If Bob lives in Baghlan then Bob lives in Afghanistan,1
If Bob lives in Baghlan then Bob lives in Asia,1
If Bob lives in Afghanistan then Bob lives in Asia,1
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Baghlan and If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Afghanistan,2
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Baghlan or If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Afghanistan,3
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Afghanistan and If Bob lives in Baghlan then Bob lives in Afghanistan,4
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Asia and If Bob lives in Baghlan then Bob lives in Asia,4
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Afghanistan or If Bob lives in Baghlan then Bob lives in Afghanistan,5
If Bob lives in Ḩukūmatī Dahanah-ye Ghōrī then Bob lives in Asia or If Bob lives in Baghlan then Bob lives in Asia,5
If Ian lives in Nahrīn then Ian lives in Baghlan,1
If Ian lives in Nahrīn then Ian lives in Afghanistan,1
If Ian lives in Nahrīn then Ian lives in Asia,1
If Ian lives in Baghlan then Ian lives in Afghanistan,1
If Ian lives in Baghlan then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Nahrīn then Ian lives in Baghlan and If Ian lives in Nahrīn then Ian lives in Afghanistan,2
If Ian lives in Nahrīn then Ian lives in Baghlan or If Ian lives in Nahrīn then Ian lives in Afghanistan,3
If Ian lives in Nahrīn then Ian lives in Afghanistan and If Ian lives in Baghlan then Ian lives in Afghanistan,4
If Ian lives in Nahrīn then Ian lives in Asia and If Ian lives in Baghlan then Ian lives in Asia,4
If Ian lives in Nahrīn then Ian lives in Afghanistan or If Ian lives in Baghlan then Ian lives in Afghanistan,5
If Ian lives in Nahrīn then Ian lives in Asia or If Ian lives in Baghlan then Ian lives in Asia,5
If Alice lives in Pul-e Khumrī then Alice lives in Baghlan,1
If Alice lives in Pul-e Khumrī then Alice lives in Afghanistan,1
If Alice lives in Pul-e Khumrī then Alice lives in Asia,1
If Alice lives in Baghlan then Alice lives in Afghanistan,1
If Alice lives in Baghlan then Alice lives in Asia,1
If Alice lives in Afghanistan then Alice lives in Asia,1
If Alice lives in Pul-e Khumrī then Alice lives in Baghlan and If Alice lives in Pul-e Khumrī then Alice lives in Afghanistan,2
If Alice lives in Pul-e Khumrī then Alice lives in Baghlan or If Alice lives in Pul-e Khumrī then Alice lives in Afghanistan,3
If Alice lives in Pul-e Khumrī then Alice lives in Afghanistan and If Alice lives in Baghlan then Alice lives in Afghanistan,4
If Alice lives in Pul-e Khumrī then Alice lives in Asia and If Alice lives in Baghlan then Alice lives in Asia,4
If Alice lives in Pul-e Khumrī then Alice lives in Afghanistan or If Alice lives in Baghlan then Alice lives in Afghanistan,5
If Alice lives in Pul-e Khumrī then Alice lives in Asia or If Alice lives in Baghlan then Alice lives in Asia,5
If Alice lives in Balkh then Alice lives in Balkh,1
If Alice lives in Balkh then Alice lives in Afghanistan,1
If Alice lives in Balkh then Alice lives in Asia,1
If Alice lives in Balkh then Alice lives in Afghanistan,1
If Alice lives in Balkh then Alice lives in Asia,1
If Alice lives in Afghanistan then Alice lives in Asia,1
If Alice lives in Balkh then Alice lives in Balkh and If Alice lives in Balkh then Alice lives in Afghanistan,2
If Alice lives in Balkh then Alice lives in Balkh or If Alice lives in Balkh then Alice lives in Afghanistan,3
If Alice lives in Balkh then Alice lives in Afghanistan and If Alice lives in Balkh then Alice lives in Afghanistan,4
If Alice lives in Balkh then Alice lives in Asia and If Alice lives in Balkh then Alice lives in Asia,4
If Alice lives in Balkh then Alice lives in Afghanistan or If Alice lives in Balkh then Alice lives in Afghanistan,5
If Alice lives in Balkh then Alice lives in Asia or If Alice lives in Balkh then Alice lives in Asia,5
If Tina lives in Dowlatābād then Tina lives in Balkh,1
If Tina lives in Dowlatābād then Tina lives in Afghanistan,1
If Tina lives in Dowlatābād then Tina lives in Asia,1
If Tina lives in Balkh then Tina lives in Afghanistan,1
If Tina lives in Balkh then Tina lives in Asia,1
If Tina lives in Afghanistan then Tina lives in Asia,1
If Tina lives in Dowlatābād then Tina lives in Balkh and If Tina lives in Dowlatābād then Tina lives in Afghanistan,2
If Tina lives in Dowlatābād then Tina lives in Balkh or If Tina lives in Dowlatābād then Tina lives in Afghanistan,3
If Tina lives in Dowlatābād then Tina lives in Afghanistan and If Tina lives in Balkh then Tina lives in Afghanistan,4
If Tina lives in Dowlatābād then Tina lives in Asia and If Tina lives in Balkh then Tina lives in Asia,4
If Tina lives in Dowlatābād then Tina lives in Afghanistan or If Tina lives in Balkh then Tina lives in Afghanistan,5
If Tina lives in Dowlatābād then Tina lives in Asia or If Tina lives in Balkh then Tina lives in Asia,5
If Hannah lives in Khulm then Hannah lives in Balkh,1
If Hannah lives in Khulm then Hannah lives in Afghanistan,1
If Hannah lives in Khulm then Hannah lives in Asia,1
If Hannah lives in Balkh then Hannah lives in Afghanistan,1
If Hannah lives in Balkh then Hannah lives in Asia,1
If Hannah lives in Afghanistan then Hannah lives in Asia,1
If Hannah lives in Khulm then Hannah lives in Balkh and If Hannah lives in Khulm then Hannah lives in Afghanistan,2
If Hannah lives in Khulm then Hannah lives in Balkh or If Hannah lives in Khulm then Hannah lives in Afghanistan,3
If Hannah lives in Khulm then Hannah lives in Afghanistan and If Hannah lives in Balkh then Hannah lives in Afghanistan,4
If Hannah lives in Khulm then Hannah lives in Asia and If Hannah lives in Balkh then Hannah lives in Asia,4
If Hannah lives in Khulm then Hannah lives in Afghanistan or If Hannah lives in Balkh then Hannah lives in Afghanistan,5
If Hannah lives in Khulm then Hannah lives in Asia or If Hannah lives in Balkh then Hannah lives in Asia,5
If Yara lives in Lab-Sar then Yara lives in Balkh,1
If Yara lives in Lab-Sar then Yara lives in Afghanistan,1
If Yara lives in Lab-Sar then Yara lives in Asia,1
If Yara lives in Balkh then Yara lives in Afghanistan,1
If Yara lives in Balkh then Yara lives in Asia,1
If Yara lives in Afghanistan then Yara lives in Asia,1
If Yara lives in Lab-Sar then Yara lives in Balkh and If Yara lives in Lab-Sar then Yara lives in Afghanistan,2
If Yara lives in Lab-Sar then Yara lives in Balkh or If Yara lives in Lab-Sar then Yara lives in Afghanistan,3
If Yara lives in Lab-Sar then Yara lives in Afghanistan and If Yara lives in Balkh then Yara lives in Afghanistan,4
If Yara lives in Lab-Sar then Yara lives in Asia and If Yara lives in Balkh then Yara lives in Asia,4
If Yara lives in Lab-Sar then Yara lives in Afghanistan or If Yara lives in Balkh then Yara lives in Afghanistan,5
If Yara lives in Lab-Sar then Yara lives in Asia or If Yara lives in Balkh then Yara lives in Asia,5
If George lives in Mazār-e Sharīf then George lives in Balkh,1
If George lives in Mazār-e Sharīf then George lives in Afghanistan,1
If George lives in Mazār-e Sharīf then George lives in Asia,1
If George lives in Balkh then George lives in Afghanistan,1
If George lives in Balkh then George lives in Asia,1
If George lives in Afghanistan then George lives in Asia,1
If George lives in Mazār-e Sharīf then George lives in Balkh and If George lives in Mazār-e Sharīf then George lives in Afghanistan,2
If George lives in Mazār-e Sharīf then George lives in Balkh or If George lives in Mazār-e Sharīf then George lives in Afghanistan,3
If George lives in Mazār-e Sharīf then George lives in Afghanistan and If George lives in Balkh then George lives in Afghanistan,4
If George lives in Mazār-e Sharīf then George lives in Asia and If George lives in Balkh then George lives in Asia,4
If George lives in Mazār-e Sharīf then George lives in Afghanistan or If George lives in Balkh then George lives in Afghanistan,5
If George lives in Mazār-e Sharīf then George lives in Asia or If George lives in Balkh then George lives in Asia,5
If Rachel lives in Qarchī Gak then Rachel lives in Balkh,1
If Rachel lives in Qarchī Gak then Rachel lives in Afghanistan,1
If Rachel lives in Qarchī Gak then Rachel lives in Asia,1
If Rachel lives in Balkh then Rachel lives in Afghanistan,1
If Rachel lives in Balkh then Rachel lives in Asia,1
If Rachel lives in Afghanistan then Rachel lives in Asia,1
If Rachel lives in Qarchī Gak then Rachel lives in Balkh and If Rachel lives in Qarchī Gak then Rachel lives in Afghanistan,2
If Rachel lives in Qarchī Gak then Rachel lives in Balkh or If Rachel lives in Qarchī Gak then Rachel lives in Afghanistan,3
If Rachel lives in Qarchī Gak then Rachel lives in Afghanistan and If Rachel lives in Balkh then Rachel lives in Afghanistan,4
If Rachel lives in Qarchī Gak then Rachel lives in Asia and If Rachel lives in Balkh then Rachel lives in Asia,4
If Rachel lives in Qarchī Gak then Rachel lives in Afghanistan or If Rachel lives in Balkh then Rachel lives in Afghanistan,5
If Rachel lives in Qarchī Gak then Rachel lives in Asia or If Rachel lives in Balkh then Rachel lives in Asia,5
If Ethan lives in Bāmyān then Ethan lives in Bamyan,1
If Ethan lives in Bāmyān then Ethan lives in Afghanistan,1
If Ethan lives in Bāmyān then Ethan lives in Asia,1
If Ethan lives in Bamyan then Ethan lives in Afghanistan,1
If Ethan lives in Bamyan then Ethan lives in Asia,1
If Ethan lives in Afghanistan then Ethan lives in Asia,1
If Ethan lives in Bāmyān then Ethan lives in Bamyan and If Ethan lives in Bāmyān then Ethan lives in Afghanistan,2
If Ethan lives in Bāmyān then Ethan lives in Bamyan or If Ethan lives in Bāmyān then Ethan lives in Afghanistan,3
If Ethan lives in Bāmyān then Ethan lives in Afghanistan and If Ethan lives in Bamyan then Ethan lives in Afghanistan,4
If Ethan lives in Bāmyān then Ethan lives in Asia and If Ethan lives in Bamyan then Ethan lives in Asia,4
If Ethan lives in Bāmyān then Ethan lives in Afghanistan or If Ethan lives in Bamyan then Ethan lives in Afghanistan,5
If Ethan lives in Bāmyān then Ethan lives in Asia or If Ethan lives in Bamyan then Ethan lives in Asia,5
If Bob lives in Panjāb then Bob lives in Bamyan,1
If Bob lives in Panjāb then Bob lives in Afghanistan,1
If Bob lives in Panjāb then Bob lives in Asia,1
If Bob lives in Bamyan then Bob lives in Afghanistan,1
If Bob lives in Bamyan then Bob lives in Asia,1
If Bob lives in Afghanistan then Bob lives in Asia,1
If Bob lives in Panjāb then Bob lives in Bamyan and If Bob lives in Panjāb then Bob lives in Afghanistan,2
If Bob lives in Panjāb then Bob lives in Bamyan or If Bob lives in Panjāb then Bob lives in Afghanistan,3
If Bob lives in Panjāb then Bob lives in Afghanistan and If Bob lives in Bamyan then Bob lives in Afghanistan,4
If Bob lives in Panjāb then Bob lives in Asia and If Bob lives in Bamyan then Bob lives in Asia,4
If Bob lives in Panjāb then Bob lives in Afghanistan or If Bob lives in Bamyan then Bob lives in Afghanistan,5
If Bob lives in Panjāb then Bob lives in Asia or If Bob lives in Bamyan then Bob lives in Asia,5
If Tina lives in Nīlī then Tina lives in Daykundi,1
If Tina lives in Nīlī then Tina lives in Afghanistan,1
If Tina lives in Nīlī then Tina lives in Asia,1
If Tina lives in Daykundi then Tina lives in Afghanistan,1
If Tina lives in Daykundi then Tina lives in Asia,1
If Tina lives in Afghanistan then Tina lives in Asia,1
If Tina lives in Nīlī then Tina lives in Daykundi and If Tina lives in Nīlī then Tina lives in Afghanistan,2
If Tina lives in Nīlī then Tina lives in Daykundi or If Tina lives in Nīlī then Tina lives in Afghanistan,3
If Tina lives in Nīlī then Tina lives in Afghanistan and If Tina lives in Daykundi then Tina lives in Afghanistan,4
If Tina lives in Nīlī then Tina lives in Asia and If Tina lives in Daykundi then Tina lives in Asia,4
If Tina lives in Nīlī then Tina lives in Afghanistan or If Tina lives in Daykundi then Tina lives in Afghanistan,5
If Tina lives in Nīlī then Tina lives in Asia or If Tina lives in Daykundi then Tina lives in Asia,5
If Steve lives in Farah then Steve lives in Farah,1
If Steve lives in Farah then Steve lives in Afghanistan,1
If Steve lives in Farah then Steve lives in Asia,1
If Steve lives in Farah then Steve lives in Afghanistan,1
If Steve lives in Farah then Steve lives in Asia,1
If Steve lives in Afghanistan then Steve lives in Asia,1
If Steve lives in Farah then Steve lives in Farah and If Steve lives in Farah then Steve lives in Afghanistan,2
If Steve lives in Farah then Steve lives in Farah or If Steve lives in Farah then Steve lives in Afghanistan,3
If Steve lives in Farah then Steve lives in Afghanistan and If Steve lives in Farah then Steve lives in Afghanistan,4
If Steve lives in Farah then Steve lives in Asia and If Steve lives in Farah then Steve lives in Asia,4
If Steve lives in Farah then Steve lives in Afghanistan or If Steve lives in Farah then Steve lives in Afghanistan,5
If Steve lives in Farah then Steve lives in Asia or If Steve lives in Farah then Steve lives in Asia,5
If Tina lives in Andkhoy then Tina lives in Faryab,1
If Tina lives in Andkhoy then Tina lives in Afghanistan,1
If Tina lives in Andkhoy then Tina lives in Asia,1
If Tina lives in Faryab then Tina lives in Afghanistan,1
If Tina lives in Faryab then Tina lives in Asia,1
If Tina lives in Afghanistan then Tina lives in Asia,1
If Tina lives in Andkhoy then Tina lives in Faryab and If Tina lives in Andkhoy then Tina lives in Afghanistan,2
If Tina lives in Andkhoy then Tina lives in Faryab or If Tina lives in Andkhoy then Tina lives in Afghanistan,3
If Tina lives in Andkhoy then Tina lives in Afghanistan and If Tina lives in Faryab then Tina lives in Afghanistan,4
If Tina lives in Andkhoy then Tina lives in Asia and If Tina lives in Faryab then Tina lives in Asia,4
If Tina lives in Andkhoy then Tina lives in Afghanistan or If Tina lives in Faryab then Tina lives in Afghanistan,5
If Tina lives in Andkhoy then Tina lives in Asia or If Tina lives in Faryab then Tina lives in Asia,5
If Charlie lives in Maymana then Charlie lives in Faryab,1
If Charlie lives in Maymana then Charlie lives in Afghanistan,1
If Charlie lives in Maymana then Charlie lives in Asia,1
If Charlie lives in Faryab then Charlie lives in Afghanistan,1
If Charlie lives in Faryab then Charlie lives in Asia,1
If Charlie lives in Afghanistan then Charlie lives in Asia,1
If Charlie lives in Maymana then Charlie lives in Faryab and If Charlie lives in Maymana then Charlie lives in Afghanistan,2
If Charlie lives in Maymana then Charlie lives in Faryab or If Charlie lives in Maymana then Charlie lives in Afghanistan,3
If Charlie lives in Maymana then Charlie lives in Afghanistan and If Charlie lives in Faryab then Charlie lives in Afghanistan,4
If Charlie lives in Maymana then Charlie lives in Asia and If Charlie lives in Faryab then Charlie lives in Asia,4
If Charlie lives in Maymana then Charlie lives in Afghanistan or If Charlie lives in Faryab then Charlie lives in Afghanistan,5
If Charlie lives in Maymana then Charlie lives in Asia or If Charlie lives in Faryab then Charlie lives in Asia,5
If Diana lives in Ghazni then Diana lives in Ghazni,1
If Diana lives in Ghazni then Diana lives in Afghanistan,1
If Diana lives in Ghazni then Diana lives in Asia,1
If Diana lives in Ghazni then Diana lives in Afghanistan,1
If Diana lives in Ghazni then Diana lives in Asia,1
If Diana lives in Afghanistan then Diana lives in Asia,1
If Diana lives in Ghazni then Diana lives in Ghazni and If Diana lives in Ghazni then Diana lives in Afghanistan,2
If Diana lives in Ghazni then Diana lives in Ghazni or If Diana lives in Ghazni then Diana lives in Afghanistan,3
If Diana lives in Ghazni then Diana lives in Afghanistan and If Diana lives in Ghazni then Diana lives in Afghanistan,4
If Diana lives in Ghazni then Diana lives in Asia and If Diana lives in Ghazni then Diana lives in Asia,4
If Diana lives in Ghazni then Diana lives in Afghanistan or If Diana lives in Ghazni then Diana lives in Afghanistan,5
If Diana lives in Ghazni then Diana lives in Asia or If Diana lives in Ghazni then Diana lives in Asia,5
If Yara lives in Fayrōz Kōh then Yara lives in Ghōr,1
If Yara lives in Fayrōz Kōh then Yara lives in Afghanistan,1
If Yara lives in Fayrōz Kōh then Yara lives in Asia,1
If Yara lives in Ghōr then Yara lives in Afghanistan,1
If Yara lives in Ghōr then Yara lives in Asia,1
If Yara lives in Afghanistan then Yara lives in Asia,1
If Yara lives in Fayrōz Kōh then Yara lives in Ghōr and If Yara lives in Fayrōz Kōh then Yara lives in Afghanistan,2
If Yara lives in Fayrōz Kōh then Yara lives in Ghōr or If Yara lives in Fayrōz Kōh then Yara lives in Afghanistan,3
If Yara lives in Fayrōz Kōh then Yara lives in Afghanistan and If Yara lives in Ghōr then Yara lives in Afghanistan,4
If Yara lives in Fayrōz Kōh then Yara lives in Asia and If Yara lives in Ghōr then Yara lives in Asia,4
If Yara lives in Fayrōz Kōh then Yara lives in Afghanistan or If Yara lives in Ghōr then Yara lives in Afghanistan,5
If Yara lives in Fayrōz Kōh then Yara lives in Asia or If Yara lives in Ghōr then Yara lives in Asia,5
If Ian lives in Shahrak then Ian lives in Ghōr,1
If Ian lives in Shahrak then Ian lives in Afghanistan,1
If Ian lives in Shahrak then Ian lives in Asia,1
If Ian lives in Ghōr then Ian lives in Afghanistan,1
If Ian lives in Ghōr then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Shahrak then Ian lives in Ghōr and If Ian lives in Shahrak then Ian lives in Afghanistan,2
If Ian lives in Shahrak then Ian lives in Ghōr or If Ian lives in Shahrak then Ian lives in Afghanistan,3
If Ian lives in Shahrak then Ian lives in Afghanistan and If Ian lives in Ghōr then Ian lives in Afghanistan,4
If Ian lives in Shahrak then Ian lives in Asia and If Ian lives in Ghōr then Ian lives in Asia,4
If Ian lives in Shahrak then Ian lives in Afghanistan or If Ian lives in Ghōr then Ian lives in Afghanistan,5
If Ian lives in Shahrak then Ian lives in Asia or If Ian lives in Ghōr then Ian lives in Asia,5
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Helmand,1
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Afghanistan,1
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Asia,1
If Diana lives in Helmand then Diana lives in Afghanistan,1
If Diana lives in Helmand then Diana lives in Asia,1
If Diana lives in Afghanistan then Diana lives in Asia,1
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Helmand and If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Afghanistan,2
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Helmand or If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Afghanistan,3
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Afghanistan and If Diana lives in Helmand then Diana lives in Afghanistan,4
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Asia and If Diana lives in Helmand then Diana lives in Asia,4
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Afghanistan or If Diana lives in Helmand then Diana lives in Afghanistan,5
If Diana lives in ‘Alāqahdārī Dīshū then Diana lives in Asia or If Diana lives in Helmand then Diana lives in Asia,5
If Charlie lives in Gereshk then Charlie lives in Helmand,1
If Charlie lives in Gereshk then Charlie lives in Afghanistan,1
If Charlie lives in Gereshk then Charlie lives in Asia,1
If Charlie lives in Helmand then Charlie lives in Afghanistan,1
If Charlie lives in Helmand then Charlie lives in Asia,1
If Charlie lives in Afghanistan then Charlie lives in Asia,1
